Drug Name,ATC1,ATC2,ATC3,ATC4,ATC5,ATC6,ATC7,ATC8,ATC9,ATC10,ATC11,Comment
Tetracosactrin,H01AA02,,,,,,,,,,,
ALOSITOL (ALLOPURINOL) TABLET,M04AA01,,,,,,,,,,,
OTREXUP,L01BA01,L04AX03,,,,,,,,,,
ATAZANAVIR (ATAZANAVIR) (ATAZANZVIR),J05AE08,,,,,,,,,,,
SYNACORT,D07XA01  ,D07AA02,,,,,,,,,,
SYNTHROID 50 MG,H03AA01,,,,,,,,,,,
Feta-tab CR,,,,,,,,,,,,
PRESCRIPTION FISH OIL,C10AX06,,,,,,,,,,,
NICERGOLINE (NICERGOLINE),C04AE02,,,,,,,,,,,
Glucosamine msm,M01AX05,,,,,,,,,,,
NATURE BOUNTY WATER PILL,,,,,,,,,,,,
OBINUTUZUMAB,L01XC15,,,,,,,,,,,
X-GEVA,M05BX04,,,,,,,,,,,
Simvabeta,C10AA01,,,,,,,,,,,
METOPROLOL (METOPROLOL)(UKNOWN),C07AB02,,,,,,,,,,,
PREGABALINUM,N03AX16,,,,,,,,,,,
Lanton 30mg,A02BC03,,,,,,,,,,,
ADVIL COLD AND FLU,M01AE01,,,,,,,,,,,
RAMIPRIL AL,C09AA05,,,,,,,,,,,
ICAPS MV,A11AA03,,,,,,,,,,,
"SUPER B COMPLEX [VIT C,VIT H,B5,CHOL,B12,B9,INOSIT,B3,B6,B2,B1]",A11BA ,,,,,,,,,,,
SULFAMETHOXAZOLE / TRIMETHOPRIM,J01EE01,,,,,,,,,,,
Desametasone-Hospira,A01AC02,C05AA09,D07AB19,D07XB05,D10AA03,H02AB02,R01AD03,S01BA01,,,,
SHAKLEE PAIN RELIEVER,,,,,,,,,,,,
BACLOFEN (WATSON LABORATORIES),M03BX01,,,,,,,,,,,
SILVADENE (SULFADIAZINE SILVER),D06BA01,,,,,,,,,,,
SurTussin,,,,,,,,,,,,
Choline salicylate,N02BA03,,,,,,,,,,,
SULFAMETHOXAZOLE/TRIMETHOPRIM LIQUID,J01EE01,,,,,,,,,,,
Apo-Warfarin,B01AA03,,,,,,,,,,,
CLARITH DRY SYRUP,J01FA09,,,,,,,,,,,
PETHIDINE,N02AB02,,,,,,,,,,,
GABAPENTIN GLENMARK,N03AX12,,,,,,,,,,,
TRIMETAPHAN,C02BA01,,,,,,,,,,,
BACLOFEN 10 MG TAB 2 IN 24 HRS,M03BX01,,,,,,,,,,,
Polery,,,,,,,,,,,,
NAPROZEN,G02CC02,M01AE02,M02AA12,,,,,,,,,
NORCO (HYDROCODONE-ACETAMINOPHEN 5-325),N02BE71,,,,,,,,,,,
AMLODIPIN 10,C08CA01,,,,,,,,,,,
ESOMEPRAZOL RATIOPHARM,A02BC05,,,,,,,,,,,
SENEKOT S (COLOXYL WITH SENNA),A06AB ,,,,,,,,,,,
VENLAFAXINE (EFFEXOR XR),N06AX16,,,,,,,,,,,
DOBUTAMINE HYDROCHLORIDE.,C01CA07,,,,,,,,,,,
ACETAMINOPHEN\OXYCODONE\OXYCODONE HYDROCHLORIDE,N02AA55 ,N02BE71,,,,,,,,,,
RAMISTAR,C09AA05,,,,,,,,,,,
VASODIP (LERCANIDIPINE),C08CA13,,,,,,,,,,,
LOPERAMIDE HYDROCHLORIDE SANDOZ,A07DA03,,,,,,,,,,,
EFFEXIR XR,N06AX16,,,,,,,,,,,
ATORVASTATIN APOTEX,C10AA05,,,,,,,,,,,
URIZIA,G04CA53,,,,,,,,,,,
PANITUMAB,L01XC08,,,,,,,,,,,
Carbomer 980,S01XA20,,,,,,,,,,,
SPIRIVA (TIOTROPIUMBROMIDE),R03BB04,,,,,,,,,,,
"TIVC VS TIV INJECTION, INTRAMUSCULAR",N01BX03 ,,,,,,,,,,,
LEUCOVORINA,V03AF03,,,,,,,,,,,
PYRIDOXIN LECIVA,A11HA02,,,,,,,,,,,
PERATSIN,N05AB03,,,,,,,,,,,
topotecan hydrochloride,L01XX17,,,,,,,,,,,
VINCRLSTINE,L01CA02,,,,,,,,,,,
ALIGN PROBIOTIC,,,,,,,,,,,,
VICTOZA 18 MG/ 3ML,A10BX07,,,,,,,,,,,
Duphaston 10 mg film coated tablets,G03DB01,,,,,,,,,,,
PROPYL P-XYLENE,,,,,,,,,,,,
CEFAZOLIN SODIUM HYDRATE,J01DB04,,,,,,,,,,,
IBUPROFEN(IBUPROFEN) (IBUPROFEN),C01EB16,G02CC01,M01AE01,M01AE01,M02AA13,R02AX02,,,,,,
Hydrochlorothiazide + triamterene,C03EA01,,,,,,,,,,,
QUETIAPINA QUALIGEN,N05AH04,,,,,,,,,,,
toprolol,C07AB02,,,,,,,,,,,
