substance,ATC1,ATC2,ATC3,ATC4,ATC5,ATC6,ATC7,ATC8,ATC9,ATC10,ATC11,Comment
ELAVIL (AMITRIPTYLINE HYDROCHLORIDE) (UNKOWN),N06AA09,,,,,,,,,,,
SODIUM BISPHOSPHATE-SODIUM PHOSPHATE,A06AD17,,,,,,,,,,,
PROPANOL ER,D08AX03,,,,,,,,,,,
SEROQUIL 25MG,N05AH04,,,,,,,,,,,
ESTROGEN (ESTRADIOL) (UNKNOWN),G03C,L02AA,,,,,,,,,,
MYRBETRIQ,G04BD12,,,,,,,,,,,
"SUPRANE_DESFLURANE 100.00 %_INHALATION VAPOUR, LIQUID_BOTTLE, GLASS",N01AB07,,,,,,,,,,,
NAPRIN,G02CC02,M01AE02,M02AA12,,,,,,,,,
Aspirin Kautabletten,A01AD05,B01AC06,N02BA01,,,,,,,,,
DOXAZOSIN(DOXAZOSIN)(DOXAZOSIN),C02CA04,,,,,,,,,,,
STIVARGA,L01XE21,,,,,,,,,,,
DEPOCILLIN,J01CE09,,,,,,,,,,,
Aspirin Adlt,A01AD05,B01AC06,N02BA01,,,,,,,,,
INTEGRILLIN,B01AC16,,,,,,,,,,,
Dormonid (Inj),N05CD08,,,,,,,,,,,
DILT-CD DILTIAZEM,C05AE03,C08DB01,,,,,,,,,,
Multivitamin Chewables,A11,,,,,,,,,,,
LANSOPRAZOLE GENERIC (LANSOPRAZOLE) UNKNOWN; REGIMEN #1,A02BC03,,,,,,,,,,,
AMPHETAMINE SULFATE\DEXTROAMPHETAMINE,N06BA02,,,,,,,,,,,
IA-CALL (CIPLASTIN),L01XA01,,,,,,,,,,,
METFRON,A10BA02,,,,,,,,,,,
NIASPAN ER 1000 MG (NIACIN),C04AC,C10AD,,,,,,,,,,
Vecuronium Bromide,M03AC03  ,,,,,,,,,,,
HYDROCODONE / ACETAMINOPHEN (REMEDEINE) TABLETS,N02AA59  ,N02BE51,,,,,,,,,,
valoron n retard 100/8 mg,N02AX01  ,,,,,,,,,,,
BENADRYL CHILD ALLERGY CHERRY LIQUID,R06AA02,,,,,,,,,,,
MILRINONE (MILRINONE),C01CE02,,,,,,,,,,,
DULCOEASE,A06AA02,A06AG10,,,,,,,,,,
AMLORATIO,C08CA01  ,,,,,,,,,,,
MONOPRIL PLUS,C09AA09,C09BA09,,,,,,,,,,
AUGMENTIN-DUO,J01CR02  ,,,,,,,,,,,
NEXIUM (ESOMEPRAZOLE MAGNESIUM) (ESOMEPRAZOLE MAGNESIUM,A02BC05,,,,,,,,,,,
FUSID (FUROSEMIDE),C03CA01,,,,,,,,,,,
CITALIPRAM,N06AB04,,,,,,,,,,,
Rogaine,C02DC01,D11AX01,,,,,,,,,,
CIPROBAY (CIPROFLOXACIN LACTATE),J01MA02,,,,,,,,,,,
MAGNESIA /07349401/,,,,,,,,,,,,
XOLAIR (OMALIZUMAB) (OMALIZUMAB),R03DX05,,,,,,,,,,,
LEVOTHYROXIN (LEVOTHYROXINE SODIUM) (TABLETS),H03AA01,,,,,,,,,,,
ZOFRAN (ONDANSETRON HYDROCHLORIDE) (UNKNOWN),A04AA01,,,,,,,,,,,
APLEWAY,,,,,,,,,,,,
Oxyco-Apap,N02AA55  ,N02BE71  ,,,,,,,,,,
SALAZAC,,,,,,,,,,,,
"DILOTAB (PARACETAMOL, PHENYLPROPANOLAMINE HYDROCHLORIDE)",R01BA51,N02BE51  ,,,,,,,,,,
SOLUPRED//PREDNISOLONE,D07AA01,D10AA02,H02AB04,,,,,,,,,
Diazepam Tablets USP,N05BA01,,,,,,,,,,,
EXFORTE,,,,,,,,,,,,
LO-OVRAL,G03AA06,,,,,,,,,,,
ACYCLOVIR (ACICLVIR) (UNKNOWN),D06BB03,J05AB01,S01AD03,,,,,,,,,
COLYMICINE,J01XB01,,,,,,,,,,,
AMLPIDIPINE BESYLATE,C08CA01,,,,,,,,,,,
SUDOCREM (SUDOCREM),D02AB ,,,,,,,,,,,
CRESTOR / ROSUVASTATIN CALCIUM,C10AA07,,,,,,,,,,,
ALLORIN (ALLOPURINOL),M04AA01,,,,,,,,,,,
EYE VITES,,,,,,,,,,,,
Triamcinolone Acetonide + Benzalconium Chloride + Salicylic Acid,D07BB03  ,M01BA03,N02BA51,,,,,,,,,
NEO/POLY/DEX OINT,,,,,,,,,,,,
ENALAPRIL/HCT (ENALAPRIL AND DIURETICS),C09BA02,,,,,,,,,,,
Dilzem XL,C05AE03,C08DB01,,,,,,,,,,
NEW CHAPTER BONE STRENGTH,,,,,,,,,,,,
VINEGAR AND WATER TONIC,,,,,,,,,,,,
topical corticosteroid ointment,D07 ,,,,,,,,,,,
MULTIVITAMIN (MULTIVITAMN),A11,,,,,,,,,,,
FUROSEMIDE INJ USP,C03CA01,,,,,,,,,,,
AVAPRO (IRBESARTAN) TABLET,C09CA04,,,,,,,,,,,
PELSONFILINA,N05CD02,,,,,,,,,,,
ZPFRAM,A04AA01,,,,,,,,,,,
potassium acetate,B05XA17,,,,,,,,,,,
CLIDINIUM,R03BB05,,,,,,,,,,,
