substance,ATC1,ATC2,ATC3,ATC4,ATC5,ATC6,ATC7,ATC8,ATC9,ATC10,ATC11,Comment
ACECLOFENAC,M01AB16,M02AA25,,,,,,,,,,
ADSORBED),,,,,,,,,,,,
ALCLOMETASONE DIPROPIONATE,D07AB10,S01BA10,,,,,,,,,,
ALISKIREN,C09XA02,,,,,,,,,,,
ALIZAPRIDE HYDROCHLORIDE,A03FA05,,,,,,,,,,,
ALNUS,,,,,,,,,,,,
ALOE,,,,,,,,,,,,
ALOE VERA LEAF GEL,,,,,,,,,,,,
ALUMINIUM HYDROCHLORIDE,,,,,,,,,,,,
"AMBROXOL HYDROCHLORIDE, CLENBUTEROL HYDROCHLORIDE",R05CB06,R03AC14,R03CC13,,,,,,,,,
AMINOPHYLLINE HYDRATE,R03DA05,,,,,,,,,,,
"AMITRIPTYLINE, PERPHENAZINE",N06CA01,,,,,,,,,,,
"ANGELICA ROOT, GLYCYRRHIZA GLABRA",,,,,,,,,,,,
ANTIMONY POTASSIUM TARTRATE,,,,,,,,,,,,
ASTAXANTHIN,,,,,,,,,,,,
ATORVASTATIN CALCIUM HYDRATE,C10AA05,,,,,,,,,,,
ATROPA BELLADONNA,,,,,,,,,,,,
AZATHIOPRINE,L04AX01,,,,,,,,,,,
"BACILLUS CLAUSII, SPORES OF POLY-ANTIBIOTIC RESISTANT",,,,,,,,,,,,
BETAMETHASONE ACETATE,A07EA04,C05AA05,D07AC01,D07XC01,H02AB01,R01AD06,R03BA04,S01BA06,S01CB04,S02BA07,S03BA03,
"BETAMETHASONE, CLOTRIMAZOLE",S01CA05,S03CA06,,,,,,,,,,
BIFIDOBACTERIUM SPP.,,,,,,,,,,,,
BISMUTH IODIDE OXIDE,C05AX02,,,,,,,,,,,
BLINATUMOMAB,L01XC19,,,,,,,,,,,
BOFUTSUSHOSAN,,,,,,,,,,,,
BORAX,S01AX07,,,,,,,,,,,
"BORIC ACID, ZINC SULPHATE",S02AA03,A12CB01,,,,,,,,,,
"BROMPHENIRAMINE, PHENYLEPHRINE",R06AB51,R01BA53,S01GA55,,,,,,,,,
BUPIVACAINE HYDROCHLORIDE,N01BB01,,,,,,,,,,,
CALCIUM CITRATE,A12AA13,,,,,,,,,,,
CALCIUM FLUORIDE,,,,,,,,,,,,
CALCIUM PANTOTHENATE,A11HA31,D03AX04,,,,,,,,,,
CAMPHOR (NATURAL),,,,,,,,,,,,
CANAGLIFLOZIN,A10BX11,,,,,,,,,,,
CAPTOPRIL,C09AA01,,,,,,,,,,,
"CARBOPLATIN, PACLITAXEL",L01XA02,L01CD01,,,,,,,,,,
CARFILZOMIB,L01XX45,,,,,,,,,,,
CARMELLOSE,S01XA20,,,,,,,,,,,
CASSIA EXTRACT,,,,,,,,,,,,
CEFOZOPRAN,J01DE03,,,,,,,,,,,
CERTOPARIN SODIUM,,,,,,,,,,,,
CETYL ALCOHOL,,,,,,,,,,,,
CHIMAPHILA UMBELLATA,,,,,,,,,,,,
CHLORDIAZEPOXIDE,N05BA02,,,,,,,,,,,
CHLORTALIDONE,C03BA04,,,,,,,,,,,
CLODRONATE DISODIUM,M05BA02,,,,,,,,,,,
CLONIDINE,C02AC01,N02CX02,S01EA04,,,,,,,,,
CLOTRIMAZOLE,A01AB18,D01AC01,G01AF02,,,,,,,,,
CODEINE-POLY(STYRENE-DIVINYLBENZENE)-SULFONATE,R05DA04,,,,,,,,,,,
COLESTIPOL HYDROCHLORIDE BP,C10AC02,,,,,,,,,,,
COPTIS,,,,,,,,,,,,
