"drugname","TP","FP","FN","TN"
"ACECLOFENAC[M01AB16,M02AA25]","aceclofenac(C0050403)[M02AA25],
aceclofenac(C0050403)[M01AB16]","","",""
"ADSORBED)[]","","","","ADSORBED) (null)[null]"
"ALCLOMETASONE DIPROPIONATE[D07AB10,S01BA10]","Alclometasone(C0360534)[D07AB10],
Alclometasone(C0360534)[S01BA10]","","",""
"ALISKIREN[C09XA02]","ALISKIREN(C1120110)[C09XA02]","","",""
"ALIZAPRIDE HYDROCHLORIDE[A03FA05]","alizapride(C0051162)[A03FA05]","","",""
"ALNUS[]","","","","ALNUS (null)[null]"
"ALOE[]","","","","ALOE (null)[null]"
"ALOE VERA LEAF GEL[]","","","","ALOE VERA LEAF GEL (null)[null]"
"ALUMINIUM HYDROCHLORIDE[]","","","","ALUMINIUM HYDROCHLORIDE (null)[null]"
"AMBROXOL HYDROCHLORIDE, CLENBUTEROL HYDROCHLORIDE[R05CB06,R03AC14,R03CC13]","Clenbuterol Hydrochloride(C0771163)[R03CC13],
Clenbuterol Hydrochloride(C0771163)[R03AC14],
Ambroxol(C0002421)[R05CB06]","","",""
"AMINOPHYLLINE HYDRATE[R03DA05]","aminophylline(C0002575)[R03DA05]","","",""
"AMITRIPTYLINE, PERPHENAZINE[N06CA01]","amitriptyline and psycholeptics(C3653016)[N06CA01]","","",""
"ANGELICA ROOT, GLYCYRRHIZA GLABRA[]","","","","ANGELICA ROOT, GLYCYRRHIZA GLABRA (null)[null]"
"ANTIMONY POTASSIUM TARTRATE[]","","","","ANTIMONY POTASSIUM TARTRATE (null)[null]"
"ASTAXANTHIN[]","","","","ASTAXANTHIN (null)[null]"
"ATORVASTATIN CALCIUM HYDRATE[C10AA05]","atorvastatin(C0286651)[C10AA05]","calcium(C0006675)[A02AC01],
calcium(C0006675)[A12AA04]","",""
"ATROPA BELLADONNA[]","","","","ATROPA BELLADONNA (null)[null]"
"AZATHIOPRINE[L04AX01]","azathioprine(C0004482)[L04AX01]","","",""
"BACILLUS CLAUSII, SPORES OF POLY-ANTIBIOTIC RESISTANT[]","","","","BACILLUS CLAUSII, SPORES OF POLY-ANTIBIOTIC RESISTANT (null)[null]"
"BETAMETHASONE ACETATE[A07EA04,C05AA05,D07AC01,D07XC01,H02AB01,R01AD06,R03BA04,S01BA06,S01CB04,S02BA07,S03BA03]","BETAMETHASONE ACETATE(C0005310)[D07XC01],
BETAMETHASONE ACETATE(C0005310)[R03BA04],
BETAMETHASONE ACETATE(C0005310)[S03BA03],
BETAMETHASONE ACETATE(C0005310)[R01AD06],
BETAMETHASONE ACETATE(C0005310)[C05AA05],
BETAMETHASONE ACETATE(C0005310)[D07AC01],
BETAMETHASONE ACETATE(C0005310)[S02BA07],
BETAMETHASONE ACETATE(C0005310)[A07EA04],
BETAMETHASONE ACETATE(C0005310)[S01CB04],
BETAMETHASONE ACETATE(C0005310)[S01BA06],
BETAMETHASONE ACETATE(C0005310)[H02AB01]","","",""
"BETAMETHASONE, CLOTRIMAZOLE[S01CA05,S03CA06]","betamethasone, antiinfectives(C3652912)[S03CA06],
betamethasone, antiinfectives(C3652912)[S01CA05]","betamethasone, antiseptics(C3652904)[D07BC01]","",""
"BIFIDOBACTERIUM SPP.[]","","","","BIFIDOBACTERIUM SPP. (null)[null]"
"BISMUTH IODIDE OXIDE[C05AX02]","","","BISMUTH IODIDE OXIDE(null)[C05AX02]",""
"BLINATUMOMAB[L01XC19]","Blinatumomab(C3853839)[L01XC19]","","",""
"BOFUTSUSHOSAN[]","","","","BOFUTSUSHOSAN (null)[null]"
"BORAX[S01AX07]","borax(C0053942)[S01AX07]","","",""
"BORIC ACID, ZINC SULPHATE[S02AA03,A12CB01]","boric acid(C0006020)[S02AA03],
zinc sulphate(C0078794)[A12CB01]","boric acid(C0006020)[S01AX07]","",""
"BROMPHENIRAMINE, PHENYLEPHRINE[R06AB51,R01BA53,S01GA55]","brompheniramine, combinations(C3653166)[R06AB51]","","BROMPHENIRAMINE, PHENYLEPHRINE(null)[R01BA53],
BROMPHENIRAMINE, PHENYLEPHRINE(null)[S01GA55]",""
"BUPIVACAINE HYDROCHLORIDE[N01BB01]","BUPIVACAINE(C0006400)[N01BB01]","","",""
"CALCIUM CITRATE[A12AA13]","calcium citrate(C0108101)[A12AA13]","","",""
"CALCIUM FLUORIDE[]","","calcium(C0006675)[A02AC01],
calcium(C0006675)[A12AA04]","",""
"CALCIUM PANTOTHENATE[A11HA31,D03AX04]","Calcium pantothenate(C0006710)[A11HA31],
Calcium pantothenate(C0006710)[D03AX04]","","",""
"CAMPHOR (NATURAL)[]","","","","CAMPHOR (NATURAL) (null)[null]"
"CANAGLIFLOZIN[A10BX11]","Canagliflozin(C2974540)[A10BX11]","","",""
"CAPTOPRIL[C09AA01]","captopril(C0006938)[C09AA01]","","",""
"CARBOPLATIN, PACLITAXEL[L01XA02,L01CD01]","Paclitaxel(C0144576)[L01CD01],
carboplatin(C0079083)[L01XA02]","","",""
"CARFILZOMIB[L01XX45]","Carfilzomib(C2001856)[L01XX45]","","",""
"CARMELLOSE[S01XA20]","","","CARMELLOSE(null)[S01XA20]",""
"CASSIA EXTRACT[]","","","","CASSIA EXTRACT (null)[null]"
"CEFOZOPRAN[J01DE03]","cefozopran(C0246584)[J01DE03]","","",""
"CERTOPARIN SODIUM[]","","","","CERTOPARIN SODIUM (null)[null]"
"CETYL ALCOHOL[]","","Alcohol(C0001962)[V03AB16],
Alcohol(C0001962)[V03AZ01],
Alcohol(C0001962)[D08AX08]","",""
"CHIMAPHILA UMBELLATA[]","","","","CHIMAPHILA UMBELLATA (null)[null]"
"CHLORDIAZEPOXIDE[N05BA02]","chlordiazepoxide(C0008188)[N05BA02]","","",""
"CHLORTALIDONE[C03BA04]","Chlortalidone(C0008294)[C03BA04]","","",""
"CLODRONATE DISODIUM[M05BA02]","Clodronate disodium(C0008994)[M05BA02]","","",""
